compatible_string,hardware_model,driver_file,first_version,subsystem
"hisilicon,hip07-lpc",hip07-lpc,drivers/bus/hisi_lpc.c,n/a,bus
"intel,ixp42x-expansion-bus-controller",ixp42x-expansion-bus-controller,drivers/bus/intel-ixp4xx-eb.c,n/a,bus
"intel,ixp43x-expansion-bus-controller",ixp43x-expansion-bus-controller,drivers/bus/intel-ixp4xx-eb.c,n/a,bus
"intel,ixp45x-expansion-bus-controller",ixp45x-expansion-bus-controller,drivers/bus/intel-ixp4xx-eb.c,n/a,bus
"intel,ixp46x-expansion-bus-controller",ixp46x-expansion-bus-controller,drivers/bus/intel-ixp4xx-eb.c,n/a,bus
"marvell,armada370-mbus",armada_370_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,armada375-mbus",armada_xp_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,armada380-mbus",armada_xp_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,armadaxp-mbus",armada_xp_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,dove-mbus",dove_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,kirkwood-mbus",kirkwood_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,mv78xx0-mbus",mv78xx0_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,orion5x-88f5181-mbus",orion5x_2win_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,orion5x-88f5182-mbus",orion5x_2win_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,orion5x-88f5281-mbus",orion5x_4win_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"marvell,orion5x-88f6183-mbus",orion5x_4win_mbus_data,drivers/bus/mvebu-mbus.c,n/a,bus
"nvidia,tegra20-gmi",tegra20-gmi,drivers/bus/tegra-gmi.c,n/a,bus
"nvidia,tegra210-aconnect",tegra210-aconnect,drivers/bus/tegra-aconnect.c,n/a,bus
"nvidia,tegra30-gmi",tegra30-gmi,drivers/bus/tegra-gmi.c,n/a,bus
"qcom,apq8060-ebi2",apq8060-ebi2,drivers/bus/qcom-ebi2.c,n/a,bus
"qcom,msm8660-ebi2",msm8660-ebi2,drivers/bus/qcom-ebi2.c,n/a,bus
"qcom,ssc-block-bus",ssc-block-bus,drivers/bus/qcom-ssc-block-bus.c,n/a,bus
simple-pm-bus,simple-pm-bus,drivers/bus/simple-pm-bus.c,n/a,bus
"socionext,uniphier-system-bus",uniphier-system-bus,drivers/bus/uniphier-system-bus.c,n/a,bus
"st,stm32-etzpc",stm32-etzpc,drivers/bus/stm32_etzpc.c,n/a,bus
"st,stm32mp21-rifsc",stm32mp21-rifsc,drivers/bus/stm32_rifsc.c,n/a,bus
"st,stm32mp25-rifsc",stm32mp25-rifsc,drivers/bus/stm32_rifsc.c,n/a,bus
"technologic,ts-nbus",ts-nbus,drivers/bus/ts-nbus.c,n/a,bus
"ti,am33xx-pwmss",am33xx-pwmss,drivers/bus/ti-pwmss.c,n/a,bus
"ti,am4372-l3-noc",am4372_l3_data,drivers/bus/omap_l3_noc.c,n/a,bus
"ti,am437x-ocp2scp",am437x-ocp2scp,drivers/bus/omap-ocp2scp.c,n/a,bus
"ti,da850-mstpri",da850-mstpri,drivers/bus/da8xx-mstpri.c,n/a,bus
"ti,dra7-l3-noc",dra_l3_data,drivers/bus/omap_l3_noc.c,n/a,bus
"ti,omap-ocp2scp",omap-ocp2scp,drivers/bus/omap-ocp2scp.c,n/a,bus
"ti,omap3-l3-smx",omap3-l3-smx,drivers/bus/omap_l3_smx.c,n/a,bus
"ti,omap4-l3-noc",omap4_l3_data,drivers/bus/omap_l3_noc.c,n/a,bus
"ti,omap5-l3-noc",omap5_l3_data,drivers/bus/omap_l3_noc.c,n/a,bus
"ti,sysc-dra7-mcan",sysc_dra7_mcan,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-dra7-mcasp",sysc_dra7_mcasp,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-mcasp",sysc_omap4_mcasp,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap-aes",sysc_omap3_aes,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap2",sysc_omap2,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap2-timer",sysc_omap2_timer,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap3-sham",sysc_omap3_sham,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap3430-sr",sysc_34xx_sr,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap3630-sr",sysc_36xx_sr,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap4",sysc_omap4,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap4-simple",sysc_omap4_simple,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap4-sr",sysc_omap4_sr,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-omap4-timer",sysc_omap4_timer,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-pruss",sysc_pruss,drivers/bus/ti-sysc.c,n/a,bus
"ti,sysc-usb-host-fs",sysc_omap4_usb_host_fs,drivers/bus/ti-sysc.c,n/a,bus
"andestech,ax45mp-cache",ax45mp-cache,drivers/cache/ax45mp_cache.c,n/a,cache
"eswin,eic7700-l3-cache",eic7700-l3-cache,drivers/cache/sifive_ccache.c,n/a,cache
"sifive,ccache0",ccache0,drivers/cache/sifive_ccache.c,n/a,cache
"sifive,fu540-c000-ccache",fu540-c000-ccache,drivers/cache/sifive_ccache.c,n/a,cache
"sifive,fu740-c000-ccache",fu740-c000-ccache,drivers/cache/sifive_ccache.c,n/a,cache
"starfive,jh7100-ccache",jh7100-ccache,drivers/cache/sifive_ccache.c,n/a,cache
"starfive,jh8100-starlink-cache",jh8100-starlink-cache,drivers/cache/starfive_starlink_cache.c,n/a,cache
"xlnx,versal-net-cdx",versal-net-cdx,drivers/cdx/controller/cdx_controller.c,n/a,cdx
1682m-rng,1682m-rng,drivers/char/hw_random/pasemi-rng.c,n/a,char
"ORCL,m4-rng",m4_template,drivers/char/hw_random/n2-drv.c,n/a,char
"ORCL,m7-rng",m7_template,drivers/char/hw_random/n2-drv.c,n/a,char
"SUNW,kt-rng",kt_template,drivers/char/hw_random/n2-drv.c,n/a,char
"SUNW,n2-rng",n2_template,drivers/char/hw_random/n2-drv.c,n/a,char
"SUNW,vf-rng",vf_template,drivers/char/hw_random/n2-drv.c,n/a,char
"airoha,en7581-trng",en7581-trng,drivers/char/hw_random/airoha-trng.c,n/a,char
"amlogic,meson-rng",meson_rng_priv,drivers/char/hw_random/meson-rng.c,n/a,char
"amlogic,meson-s4-rng",meson_rng_priv_s4,drivers/char/hw_random/meson-rng.c,n/a,char
"apm,xgene-rng",xgene-rng,drivers/char/hw_random/xgene-rng.c,n/a,char
"arm,cryptocell-703-trng",cryptocell-703-trng,drivers/char/hw_random/cctrng.c,n/a,char
